,Title,Company/Location,Description
68,IT Service Desk Analyst (Open to Remote),penguin random house llcremote westminster md 21157,skillsdo experience window yesnoeducationdo high school diploma ged yesno locationwestminster md 21157benefitspulled full job description401 k ad insurancecommuter assistancedisability insuranceflexible spending accounthealth insurancehealth saving accountshow morechevron downfull job description seeking service desk analyst join team person play crucial role providing technical support assistance within organization role responsible resolving technical issue answering inquiry ensuring smooth operation system equipment service desk analyst serf first point contact problem strives provide effective solution maintaining high level customer satisfaction key responsibility customer support act primary point contact seeking technical assistance via phone email chat provide exceptional customer service listening user issue troubleshooting resolving problem efficiently maintain professional courteous demeanor interacting user incident management log incident service request inquiry servicenow ticketing system prioritize categorize incident based urgency impact business operation monitor manage ticket queue ensure timely resolution escalating issue required technical troubleshooting diagnose resolve hardware software problem including issue mac computer printer software application mobile device cloud application network connectivity vpn provide instruction guidance problem resolution appropriate determine best cease troubleshooting escalate dispatch second level support assist documentation maintain accurate record support activity including incident detail troubleshooting step resolution procedure call ticketing system update knowledge base article common issue facilitate communication communicate effectively colleague verbally writing ensure clear concise exchange technical information keep informed incident progress resolution timeline hardware software support assist hardware software installation configuration update troubleshoot issue including operating system office application specialized software used within organization user training provide basic training guidance using resource effectively securely promote security best practice educate user importance safeguarding sensitive data credential continuous improvement identify recurring issue escalate management effort prevent future incident requirement high school diploma equivalent degree relevant certification plus least year experience service role basic knowledge hardware software operating system excellent communication interpersonal skill ability patience assisting ability work dynamic environment approach strong commitment user satisfaction learn department initiative visit tech talent site salary position position currently eligible annual profit award bonus subject company result penguin random house job posting include good faith compensation range open position salary range listed specific particular open position take account various factor including specific individual role candidate relevant experience qualification employee eligible comprehensive benefit program range benefit include limited drug insurance dental vision health care flexible spending account health saving account roth 401 k short disability insurance insurance commuter benefit student loan repayment program educational assistance generous paid time penguin random house leading adult child publishing house north america united kingdom many region around world publishing best book every genre subject age committed quality excellence execution innovation throughout entire publishing process editorial design marketing publicity sale production distribution vibrant diverse international community nearly 300 publishing brand imprint include ballantine bantam dell berkley clarkson potter crown dk doubleday dutton grosset dunlap little golden book knopf modern library pantheon penguin book penguin press penguin random house audio penguin young reader portfolio puffin putnam random house random house child book riverhead ten speed press viking vintage among others information found http penguin random house value array talent perspective diverse workforce brings qualified applicant receive consideration employment without regard race national origin religion age color sex sexual orientation gender identity disability protected veteran status company penguin random house llc country united state america maryland city westminster postal code 21157 job id 267613
69,Information Technology Specialist,tsa transportation security administration springfield va,overview information technology specialist open closing date pay scale grade sv j appointment type salary pa work schedule location springfield virginia duty summary securing travel protecting people transportation security administration serve environment safeguard american way life city across country would secure airport seaport railroad highway public transit system thus protecting america transportation infrastructure ensuring freedom movement people commerce announcement number control number 782978500
70,Manager Internal Audit (NON-IT) (Hybrid),exeter finance tx 75063 area,licensesdo valid cpa license yesnocertificationsdo valid certified internal auditor certification yesnoskillsdo experience team management yesnoeducationdo bachelor degree yesno job detailshere job detail align yearjob locationirving tx 75063full job description exeter finance committed helping customer find right financing next vehicle purchase building strong relationship customer network dealer partner able give option make sense getting customer behind wheel car every team member integral success whether servicing center helping customer loan field building relationship dealer supporting company corporate office enjoy nurturing invigorating positive work environment vision premier finance company lender choice known people performance service job description job summary manager internal audit responsible directing internal audit department developing planning executing comprehensive audit program responsibility include oversight assisting department setup manage end end audit function includes hiring audit senior staff developing maintaining audit universe executing reviewing reporting adequacy reliability internal control accounting system position interact directly senior management external auditor 3rd party vendor addition essential function listed list duty internal audit department grows company job duty plan organizes executes internal audit function including preparation audit plan fulfills responsibility department schedule assigns work estimate needed resource manages audit team provide direction coaching mentoring counseling assessment ensures compliance exeter policy procedure safety state federal law regulation standard coordinate coverage external auditor ensures party aware work also well briefed area concern make recommendation system procedure reviewed audit assessment report identified finding monitor management response necessary remediation implementation conduct review project requested executive management board director audit committee vp internal audit sox ensures system place identifies analyzes major risk company annual basis duty assigned education work experience bachelor degree equivalent finance accounting economics similar discipline cpa cia preferred six 6 year auditing experience equivalent applicable work experience one 1 year management experience thorough knowledge current auditing technique experience managing team experience risk based audit process deep understanding audit industry best practice including use implementation software related data analytics tool strong working knowledge u gaap generally accepted accounting principle pcaob audit standard requirement coso internal control framework regulatory requirement excellent communication interpersonal presentation skill help facilitate interaction business partner communication key status point senior management key audit stakeholder proven experience leading successful team skill organizing resource establishing priority compensation information salary range individual compensation package based various factor unique candidate including skill set experience qualification reason exeter finance equal opportunity employer lihybrid exeter finance llc equal opportunity employer individual compensation package based various factor unique candidate including skill set experience qualification reason
71,AWS Cloud Engineer,innova solutionsremote,skillsdo experience s3 yesno job detailshere job detail align 62 64 hourjob schedule8 hour shiftmonday friday locationremotebenefitspulled full job description401 k dental insurancehealth insurancevision insurancefull job descriptionare skilled cloud engineer knack data lake ready take career next level looking enthusiastic cloud engineer part client lean team responsible maintenance optimization aws data lake infrastructure 6 month contract hire position 100 remote part team primary responsibility include managing optimizing aws redshift cluster peak performance scalability implementing monitoring aws dm seamless data migration replication developing etl workflow using aws glue administering storage gateway efficient data transfer environment leveraging aws transfer family secure file transfer protocol designing deploying serverless solution using aws lambda ensuring orderly organization storage data within aws s3 bucket building maintaining pipeline streamlined deployment join client company one forbes top place work promoting awesome company culture embrace fantastic balance plus enjoy health benefit 401k option ready hire asap excited opportunity drop u message best time number reach let make thing happen together job type contract pay per hour expected hour 40 per week benefit 401 k dental insurance health insurance vision insurance experience level 4 year schedule 8 hour shift monday friday experience python 3 year required redshift 3 year required aws cloud 3 year required work location remote
72,Mainframe Computer Tester,freedom staffing llcremote,skillsdo experience soap yesno job detailshere job detail align 37 38 hourjob locationremotebenefitspulled full job description401 k 401 k matchingdental insurancehealth insurancelife insurancepaid time offvision insurancefull job descriptiontitle computer operator pay rate 30 hour 100 remote project based indianapolis department defense requires u citizen would prefer someone indianapolis ohio kentucky department defense need mainframe computer operator application supported large mainframe payroll application experience scheduling executing batch schedule required ability work 2nd shift also required troubleshooting communication skill also critical candidate part production support team responsible running batch schedule payroll application job type pay per hour benefit 401 k 401 k matching dental insurance health insurance life insurance paid time vision insurance work location remote
73,"Junior Cyber Engineer (SSDS)- Moorestown, NJ",engineering corporationmount laurel nj 08054,certificationsdo valid comptia certification yesnoskillsdo experience technical writing yesnoeducationdo associate degree yesno locationmount laurel nj 08054benefitspulled full job description401 k dental insurancedisability insurancehealth insurancelife insurancepaid time offtuition reimbursementshow morechevron downfull job description junior cyber engineer ssds program moorestown nj generous pto 401k health insurance package annual salary range engineering seeking junior cyber engineer support ship self defense system ssds combat system program ssds integrated weapon system used aboard large navy aircraft carrier amphibious assault ship lha lhd dock landing ship lsd work performed customer site moorestown nj duty supporting technical cyber staff conducting system usage audit archiving data completing cybersecurity incident report maintaining cybersecurity tool implemented system design provide opsec manual material input qualification higher software engineering computer science year experience internship experience accepted certification technical writing experience experience agile jira linux must u citizen ability obtain dod security clearance preferred qualification experience model based engineering agile methodology engineering provides competitive package salary benefit including medical dental vision coverage safe harbor 401 k program generous paid time pto std ltd life insurance tuition assistance higher education prospective employee receive consideration without discrimination race creed color sex age national origin handicap equal opportunity employer
74,Desktop Support I,healthtrackrxremote united state,certificationsdo valid mcitp certification yesnoskillsdo experience window yesnoeducationdo high school diploma ged yesno job detailshere job detail align yearjob locationunited statesfull job description job description job title desktop support technician department flsa status report director infrastructure manages people experience typically requires year related experience level supervision work closely managed job summary desktop support technician ensures client satisfaction installing maintaining servicing hardware software desktop management application deployment cyber security system monitoring system administration providing end user support resolve le common problem query essential provide professional support via telephone email web submits track incident call including limited entering data database timely accurately install new hardware component ensuring integration existing network system load verify correct operation software package perform minor repair hardware software peripheral equipment following design installation specification troubleshoot moderately complex hardware software problem conduct computer diagnostics determine nature problem provide technical assistance test monitor software hardware peripheral equipment evaluate use effectiveness adequacy product user qualification education high school diploma equivalent ability support end user help desk issue analyze test troubleshoot resolve issue rolling new equipment desktop laptop wireless equipment etc excellent listening written verbal communication excellent customer service skill organized proven troubleshooting skill experience year experience supporting desktop laptop window environment previous experience window operating system knowledge office 365 suite including management application license previous experience itsm tool freshservice previous experience troubleshooting desktop laptop hardware software issue previous experience pc imaging deployment activity previous experience helpdesk ticketing system previous experience supporting apple android environment phone tablet software experience ad microsoft product vpn client preferred comptia mcitp 6 pm cst 2 cst
75,Desktop Support I,healthtrackrxremote united state,certificationsdo valid mcitp certification yesnoskillsdo experience window yesnoeducationdo high school diploma ged yesno job detailshere job detail align yearjob locationunited statesfull job description job description job title desktop support technician department flsa status report director infrastructure manages people experience typically requires year related experience level supervision work closely managed job summary desktop support technician ensures client satisfaction installing maintaining servicing hardware software desktop management application deployment cyber security system monitoring system administration providing end user support resolve le common problem query essential provide professional support via telephone email web submits track incident call including limited entering data database timely accurately install new hardware component ensuring integration existing network system load verify correct operation software package perform minor repair hardware software peripheral equipment following design installation specification troubleshoot moderately complex hardware software problem conduct computer diagnostics determine nature problem provide technical assistance test monitor software hardware peripheral equipment evaluate use effectiveness adequacy product user qualification education high school diploma equivalent ability support end user help desk issue analyze test troubleshoot resolve issue rolling new equipment desktop laptop wireless equipment etc excellent listening written verbal communication excellent customer service skill organized proven troubleshooting skill experience year experience supporting desktop laptop window environment previous experience window operating system knowledge office 365 suite including management application license previous experience itsm tool freshservice previous experience troubleshooting desktop laptop hardware software issue previous experience pc imaging deployment activity previous experience helpdesk ticketing system previous experience supporting apple android environment phone tablet software experience ad microsoft product vpn client preferred comptia mcitp 6 pm cst 2 cst
76,Business Analyst (Information Technology Analyst 2),new jersey courtshybrid remote trenton nj 08611,skillsdo experience software troubleshooting yesnoeducationdo master degree yesno job detailshere job detail align yearjob scheduleweekends neededmonday fridayholidays locationtrenton nj 08611full job description description applicant previously applied need reapply additional position become available five 5 month closing date applicant pool posting may used fill additional position come work new jersey judiciary join strong team operates highest standard independence integrity fairness quality service engaged work purpose meaning make difference life public serve work hard every day build public trust confidence court system includes issue bail reform marijuana decriminalization recovery court whether courtroom administrative office courthouse training room office field judiciary workforce improving life countless individual family every day honor dignity individualism member organization fostering professionalism continuous improvement work salary salary range position schedule schedule newly hired individual starting salary normally minimum salary range current judiciary employee salary upon promotion advancement increase 5 base salary exceed maximum range minimum salary whichever greater judiciary employee hired prior june 3 2014 considered schedule newly hired individual judiciary employee hired june 3 2014 considered schedule judiciary offer strong opportunity growth new jersey judiciary seeking experienced business analyst work general direction chief supervisory personnel automated trial court service unit atcsu unit primarily responsible business analysis user requirement gathering workflow analysis development project plan user interface system testing user training support unit work collaboratively court case processing manager staff information technology manager staff others plan implement large scale judiciary information technology project also provides ongoing customer support delivers presentation necessary various customer located throughout state experience stage sdlc pega agile methodology preferred remote work judiciary currently offer hybrid work schedule position may qualify 3 day remote work outside judiciary building participate program required high speed home internet access example duty writing specification new application enhancement recommending process design change case management system analyzing business procedure workflow policy standard identify appropriate solution business community creating managing project requirement related project milestone schedule formulating report project progress defining documenting customer business function process acting liaison stakeholder software development team communicating collaborating external internal customer analyze information need functional requirement delivering business requirement document ui design diagram wireframes user interface specification documentation developing test script performing variety system user testing across multiple platform coordinating regularly ito business user designing conducting presentation training session internal external customer including judge court staff attorney governmental entity conducting interview research analyze work method process program planning organizing facilitating meeting site visit primary stakeholder providing helpdesk user support performing related duty required selected candidate may required work work week may include weekend holiday qualification graduation accredited college university bachelor degree field related computer science information technology area applicant applying information system interaction interactive medium software engineering computer networking cybersecurity one 1 year professional experience analyzing designing programming troubleshooting resolving technical problem testing defining business requirement training installing computer system application planning acquiring installing implementing telecommunication facility service wide area network local area network generating maintaining system software substitution applicant posse required education may substitute additional paraprofessional professional technical experience experience related area applicant applying year year basis one year experience equal 30 semester hour credit bachelor degree field accredited college university one year additional paraprofessional professional technical experience experience related area applicant applying may substituted required education associate degree field related computer science information technology area applicant applying information system interaction interactive medium software engineering computer networking cybersecurity two 2 year additional paraprofessional professional technical experience experience related area applicant applying may substituted required education associate degree field accredited college university three year additional paraprofessional professional technical experience experience related area applicant applying may substituted required education master degree field related computer science information technology area applicant applying information system interaction interactive medium software engineering computer networking cybersecurity may substituted required education education note degree conferred outside united state must evaluated recognized evaluation service see supplemental information physical ability position applicant must ability perform work requires climbing prolonged standing stretching bending reaching selected candidate must able frequently lift carry supply weighing 30 50 pound occasionally material weighing 75 pound driver license appointee required posse driver license valid new jersey operation vehicle necessary perform essential duty position authorization work u citizenship required selected candidate must authorized work u according department homeland security u citizenship immigration service regulation special note newly hired employee must agree thorough background check include fingerprinting data received kept strict confidence except inform individual finding action taken result information residency law accordance 2011 chapter 70 new jersey first act person newly hired judiciary within one year must establish maintain principal residence state new jersey person may request exemption requirement employee residency review committee department labor workforce development basis either hardship employer critical need apply nj judiciary requires applicant complete application process fully instructed applicant must complete work experience education section attach required document application must describe relevant work experience detail beginning current recent job including military service indicate rank internship volunteer work applicable use separate section describe position applicant indicate see resume enter initial acknowledge skipped work history education section considered unless posse education history work experience applicant follow application instruction submit completed application considered new jersey judiciary consists supreme court superior court including appellate division trial court 15 vicinages new jersey tax court municipal court system administrative office court provides technical assistance operational support training research development budget personnel coordination development operation information system court new jersey judiciary new jersey equal action employer committed ensuring open door justice neogov applicant support toll free call monday friday pm mountain time mt
77,IT Network Engineer IV,nc,skillsdo experience splunk yesnoeducationdo bachelor degree yesno job detailshere job detail align typecontractshift scheduleon call locationcharlotte ncfull job description nowhiring itnetworkengineer job title network engineer iv contract 9 month belcan leading provider professional engineering workforce solution staffing united state canada uk europe india network engineer ii job charlotte nc currently available belcan role serve network subject matter expert providing technical expertise design skill expert operational support interested role apply today job description position develop configure support network device solution align client technology standard meet connectivity need business role responsibility serve network subject matter expert providing technical expertise design skill expert operational support develop test implement document support data network solution including providing technical requirement part overall network solution design development effort creating reviewing vetting technical functional specification network solution design documentation ensuring complete correct kept current assisting implementation new solution upgrade existing solution including communication preparation documentation training maintaining administering network related computing environment including software hardware tool protecting data software hardware coordinating planning implementing network security measure troubleshooting diagnosing resolving hardware software network system problem participating root cause analysis incident helping drive identification preventative action meant ensure problem recur delivering task within action education requirement degree equivalent combination education experience work experience year experience analyzing requirement designing delivering overseeing network network security large enterprise environment year performing network network security function large enterprise class environment required skill experience implementing troubleshooting administering ddi system like infoblox bluecat strong knowledge dhcp ip address management including administration monitoring troubleshooting deep understanding isc standard including bind dhcp experience management troubleshooting dns performance management optimization dns dhcp ability implement administer troubleshoot network network security infrastructure device deep current experience network infrastructure network hardware including several following cisco aruba arista juniper palo alto checkpoint riverbed zscaler infoblox bluecat velocloud versa silverpeak iot practical knowledge tacacs aaa ipsec key encryption understanding practical knowledge approach network security including packet filtering access list firewall waf id ddos mitigation technique excellent technical analysis problem solving business relationship skill must good grasp contemporary emerging application enterprise ability think problem visualize solution ability create accurate network diagram documentation design planning network communication system ability work level staff within outside outside organization excellent communication interpersonal influencing skill demonstrated track record time delivery within budget ability drive project successful conclusion using influencing tool successfully navigate within team across multiple initiative spanning various line business geographic border time zone culture must able work team environment motivate others must willing call available support rotation defined team position responsibility listed desired skill knowledge application transport network infrastructure protocol including bgp ospf understanding tool auvik observian nagios solarwinds splunk cisco prime nnmi hpna netbrain etc understanding pertinent framework including itil nist cobit knowledge network security travel travel remote role location charlotte nc zip code 28216 keyword charlottejobs itnetworkengineerjobs start date right away zr belcan global supplier engineering technical recruiting service customer aerospace industrial government sector belcan engineer better outcome adaptive integrated jet engine airframe avionics heavy vehicle chemical processing cybersecurity belcan take partnering approach provide solution flexible scalable unique capability led continuous growth success year equal opportunity employer committed workforce diversity
78,Desktop Support Specialist,london approachmedford nj 08055,skillsdo experience software troubleshooting yesno locationmedford nj 08055benefitspulled full job descriptionhealth insurancefull job description desktop support specialist direct hire based experience hybrid medford nj london approach seeking experienced highly skilled desktop support specialist direct hire position one top client hybrid opportunity transitioning hybrid model 6 month onsite work medford nj position pay total compensation along full benefit legal background ability work hour pm est required position c2c sponsorship available responsibility act initial point contact software troubleshooting providing telephone desk support swiftly resolve issue encountered employee particularly focusing imanage employ proactive approach identify troubleshoot resolve issue related desktop computer software data management system ensuring seamless functionality undertake special project embrace additional duty assigned contributing overall efficiency effectiveness team looking candidate excel providing strong customer service skill environment demonstrating exceptional organization attention detail ability effectively prioritize workload qualification experience coming legal background law practice required ability work hour pm required first 6 month position posse foundational comprehension legal document adeptness navigating document management system demonstrate proficiency experience imanage microsoft word excel well kofax pdf showcasing advanced level expertise platform lait
79,System Administrator (virtual; remote; current residents of Texas only),learning texas,skillsdo experience system administration yesnoeducationdo bachelor degree yesno job detailshere job detail align yearjob scheduleday shiftmonday fridayon call locationtexasbenefitspulled full job description401 k 401 k matchingad insurancedental insurancedisability insuranceemployee assistance programemployee discountshow morechevron downfull job description must currently reside texas apply position love helping others smart super organized fixated detail problem solver anticipate need others time management whiz enjoy managing logistics solving puzzle flexible hard worker used whatever need done technology friend afraid get hand dirty literally figuratively task small beneath joyfully support colleague smile laugh lot joy contagious build meaningful friendship colleague humble confident say say might great fit opportunitylearning network growing innovative education service company seek creative tenacious individual help u drive success service immediate opening system administrator position provide growth maintenance current future hardware system system administrator assist creating architecture implementing solution maintaining company system integrated connected ecosystem success require high level organizational skill solid experience variety system successful need initiative taker need broad thinker make suggestion take constructive feedback good attitude without pushback go personally execute diligence like working others develop strategy rolling sleeve implement strategy probably good fit position full time remote job duty administer improve system solution including google admin freshdesk formstack form builder aws liquid web mobile device management meraki networking dialpad brivo access control student information system learning management system automate key business process carried function organization innovate existing process within various system drive efficiency collect user feedback document system enhancement request work internally externally implement change regularly perform routine system administrator function including system backup security role profile sharing rule workflow group integrate variety system supporting telephony student information event data collection etc create distribute analytics report dashboard user department provide change log documentation update made company tech ecosystem including limited user audit trail workflow process reporting analytics address user question aggregate prioritize user feedback plan implement system enhancement based personal expertise user feedback organizational goal identify system problem develop fix ensure full quality assurance testing implement solution document train staff system best practice process research review recommend implement new replacement system feature update better support ecosystem company operation duty assigned essential knowledge skill ability strong attention detail excellent communication skill verbal written demonstrated success team player possessing positive attitude strong work ethic entrepreneurial spirit flexibility systematic skill ability determine root cause problem implement solution able handle multiple complex priority balance need according business impact proven ability work high energy environment juggle multiple deadline task exceptional project management skill including ability meet deadline handle diverse task simultaneously using prioritization successful implementation business process documentation initiative strong track record acting approach proficient technology especially tool eg google apps google drive qualification four 4 year experience working wide array cloud computing system three 3 year experience system administrator two 2 year experience implementing complex software system one 1 year experience asana similar project management tool preferred bachelor degree ability pas required background check salaryour compensation philosophy based internal external data salary determined based relevant experience range starting salary new team member typically bottom range allow ongoing growth possibility salary increase time depending performance reserve right pay equitable salary believe within salary structure may fit candidate qualification experience position posted salary range guarantee specific salary range job offer reserve right make salary decision based variety consideration attract best possible talent benefit medical dental vision employee coverage little 1 per month personal paid time addition major holiday disability insurance disability insurance life insurance ad insurance 100 paid employer 401 k employer contributing match employee contribution 5 employee earnings employee recognition platform powered fond employee discount program instant access discount hundred popular product service category like fitness travel professional development home service entertainment job type pay per year benefit 401 k 401 k matching dental insurance employee assistance program employee discount health insurance life insurance paid time referral program vision insurance experience level 4 year schedule day shift monday friday call application question united state currently reside education bachelor required experience working wide array cloud computing system 4 year required implementing complex software system 2 year required administering google suite 3 year required administering freshdesk 1 year required administering dialpad 1 year required employed system administrator 3 year required administering asana 1 year required work location remote
80,Computer System Validation,unicon pharma inctemporarily remote united state,educationdo bachelor degree yesno job detailshere job detail align 40 55 hourjob schedule8 hour shift locationunited statesfull job description develop various type system validation infrastructure qualification documentation including limited master plan user requirement functional requirement specification design specification user acceptance test uat design qualification dq iq oq pq traceability matrix validation protocol report provide qa oversight gxp computerized system validation activity gxp assessment risk assessment part 11 assessment work closely collaboratively various business partner including information technology system owner effectively efficiently implement new computerized system system upgrade system modification coordinate activity propose implement strategy serve subject matter expert present project status report management well project team review change control request ass impact validation support necessary computerized system validation activity change perform gap analysis validation documentation system practice communicate identified gap including recommending implementing corrective action improvement supplier site validation work supplier troubleshoot improve system process generate system report supplier implementation closure identified report generate computer system related policy procedure template form needed validation program implement work management system validation planning short term long term supporting diagnosis validation problem internal external implementing corrective preventive action resolve problem support continuous improvement validation program maintain knowledge understanding quality system requirement apply computerized system accordance cgxp regulation gamp industry standard policy procedure involve review revision standard operating procedure sop performs quality computerized system related duty necessary job type contract pay per hour schedule 8 hour shift education bachelor preferred contract length 1 year contract renewal likely work location multiple location company website work remotely temporarily due work location multiple location
81,"Junior Cyber Engineer (SSDS)- Moorestown, NJ",engineering corporationmount laurel nj 08054,certificationsdo valid comptia certification yesnoskillsdo experience technical writing yesnoeducationdo associate degree yesno locationmount laurel nj 08054benefitspulled full job description401 k dental insurancedisability insurancehealth insurancelife insurancepaid time offtuition reimbursementshow morechevron downfull job description junior cyber engineer ssds program moorestown nj generous pto 401k health insurance package annual salary range engineering seeking junior cyber engineer support ship self defense system ssds combat system program ssds integrated weapon system used aboard large navy aircraft carrier amphibious assault ship lha lhd dock landing ship lsd work performed customer site moorestown nj duty supporting technical cyber staff conducting system usage audit archiving data completing cybersecurity incident report maintaining cybersecurity tool implemented system design provide opsec manual material input qualification higher software engineering computer science year experience internship experience accepted certification technical writing experience experience agile jira linux must u citizen ability obtain dod security clearance preferred qualification experience model based engineering agile methodology engineering provides competitive package salary benefit including medical dental vision coverage safe harbor 401 k program generous paid time pto std ltd life insurance tuition assistance higher education prospective employee receive consideration without discrimination race creed color sex age national origin handicap equal opportunity employer
82,"IT Technician (Portland, OR)",intelligent technical 97224,certificationsdo valid mcp certification yesnoskillsdo experience window yesno job detailshere job detail align hourjob schedule8 hour shiftday shiftmonday friday location16760 sw upper boone ferry rd portland 97224benefitspulled full job descriptiondental insurancedisability insurancehealth insurancelife insurancepaid time offpaid trainingreferral programshow morechevron downfull job descriptionjob description join intelligent technical solution dynamic growing company technician tier looking collaborative excellent customer service skill mindset role pivotal providing onsite remote support ensuring client receive technical assistance handle range task system update troubleshooting playing critical role maintaining high standard service job responsibility role expected able resolve following technical issue little assistance workstation operating system issue kind printer issue kind standard business application office etc issue kind application issue common application sage erp quickbooks niche application vendor assistance server issue kind basic intermediate networking issue escalation point tier 1 technician job qualification experience window mac o troubleshooting experience server 2012 experience vmware hyper v virtualization experience supporting m365 azure minimum five year experience support similar role basic knowledge firewall switch network architecture troubleshooting proficient supporting m office adobe active directory backup software endpoint cybersecurity mobile device various business application experience managed service provider msps highly desirable active server certification preferred valid driver license access vehicle client visit job kpi closed ticket completed one time entry contributes number utilization percentage time clock billing time client ticket np score filled client using rating system ticket nextticket usage percentage ticket pick modify put time nextticket menu compensation pay rate start vary experience location pay increase depends acquisition certificate technician expected take company sponsored certification least every six month upon hiring example certification comptia comptia microsoft mcdst mcp benefit paid u holiday paid time comprehensive health plan life accident insurance accident disability coverage training certification retirement security health wellness program salary advancement option speed application process following approach directly submitting application completing form apply job submitted form member team promptly get touch step please find good quiet time aptitude assessment http step complete video interview http job type permanent pay per hour expected hour 40 per week benefit dental insurance health insurance life insurance paid time referral program retirement plan vision insurance experience level 5 year schedule 8 hour shift day shift monday friday application question best time call please provide salary expectation say negotiable please enter range per hour valid driver license vehicle use tech certification belt worked msp please tell u many year experience like would like receive update recruiter job via sm currently living portland living nearby please specify work location person
83,IT Support Technician,gateway supply sc 29201,skillsdo experience window yesnoeducationdo associate degree yesno job detailshere job detail align yearjob scheduleweekends neededmonday friday location1312 hamrick st columbia sc 29201benefitspulled full job description401 k 401 k matchingdental insurancehealth insurancelife insurancepaid time offvision insurancefull job descriptiongateway supply seeking experienced support technician join team ideal candidate strong technical background excellent skill duty install configure troubleshoot computer hardware software system network printer equipment respond user inquiry provide technical support via phone email diagnose resolve hardware software issue adhere security measure control document support activity resolution perform routine maintenance task system update backup assist user account management active directory test new technology requirement two year proven experience support technician similar role knowledge internet security data privacy principle strong diagnostic skill familiarity infrastructure component server switch router etc excellent communication organizational skill experience virtual environment remote access program knowledge active directory administration required experience cisco router switch required experience plus linux window etc minimum 2 year degree computer science relevant area required willing travel company location needed pay commensurate experience join team today job type pay per year benefit 401 k 401 k matching dental insurance health insurance life insurance paid time vision insurance experience level 5 year schedule monday friday weekend needed education associate required experience technician 5 year preferred ability relocate columbia sc 29201 relocate starting work required willingness travel 25 required work location person
